"","ID","log_pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumHBondDonors","NumOfConf","parentspecies","hydroxyl..alkyl.","ketone","carboxylic.acid","carbonylperoxynitrate","hydroperoxide","carbonylperoxyacid"
"1",0,-11.2950699380379,224.016831836,23,6,9,4,485,"toluene",1,0,1,0,2,0
"2",1,-4.78250005090344,310.064844648,35,9,10,1,236,"apin",0,1,0,0,1,0
"3",2,-6.20431885735648,368.033938444,37,10,13,1,308,"apin",0,2,0,1,1,0
"4",3,-9.67259060566421,299.012474728,29,7,12,4,769,"toluene",2,2,0,0,1,1
"5",4,-4.25205804854546,202.011352532,20,7,7,1,77,"toluene",0,2,0,0,1,0
"6",5,-9.84375599271244,238.0324819,26,7,9,3,483,"",1,1,0,0,2,0
"7",6,1.93630067478936,241.965858884,18,3,11,1,41,"toluene",1,0,0,1,0,0
"8",7,-10.4762939823997,303.007389348,29,6,13,5,238,"toluene",2,0,0,0,3,0
"9",8,-5.61762732832529,284.996824664,26,6,12,3,487,"toluene",1,0,0,1,2,0
"10",9,-6.5818780586733,310.97608922,26,7,13,2,378,"toluene",0,1,0,0,1,1
"11",10,-2.00086845777476,343.961167428,27,6,15,1,23,"toluene",0,2,0,1,0,1
"12",11,-4.26754940336536,281.001910044,26,7,11,2,211,"toluene",0,1,0,0,2,0
"13",12,-5.36418928073398,284.049194584,31,7,10,2,517,"apin",1,1,0,0,1,0
"14",13,-3.72426806989557,263.100501884,35,10,7,1,201,"decane",0,2,0,0,1,0
"15",14,-5.367014032642,223.032816248,24,6,8,2,69,"toluene",2,0,0,0,0,0
"16",15,-8.61690985631465,267.022645488,27,7,10,4,439,"toluene",4,1,0,0,0,0
"17",16,-5.93740371068022,253.006995424,24,6,10,2,501,"toluene",0,1,1,0,1,0
"18",17,-6.99865833219684,218.006267152,21,7,8,2,19,"toluene",0,2,1,0,0,1
"19",18,-12.6803562033096,242.02739652,26,6,10,4,983,"toluene",1,1,0,0,3,0
"20",19,-3.40319488625915,208.021917216,22,6,8,3,184,"toluene",1,1,0,0,1,1
"21",20,-4.62267602428464,294.9811746,25,7,12,1,136,"toluene",0,2,0,0,0,1
"22",21,-1.01918502664062,331.961167428,26,5,15,1,214,"toluene",0,0,0,2,1,0
"23",22,-10.7484423212055,254.02739652,27,7,10,5,272,"toluene",4,0,0,0,0,1
"24",23,-3.0158785984304,302.02337376,30,6,12,2,361,"apin",0,0,0,1,2,0
"25",25,-9.97450040333372,296.996824664,27,7,12,4,304,"toluene",2,0,0,0,1,1
"26",26,-6.72371821955284,283.017560108,28,7,11,2,550,"toluene",0,0,1,0,1,0
"27",27,-10.064061929368,280.079432092,35,10,9,3,882,"apin",0,2,0,0,3,0
"28",30,-5.2278665853834,313.986988252,27,6,13,2,117,"toluene",1,0,0,1,0,1
"29",31,-2.65126309911125,329.981902872,28,6,14,2,314,"toluene",1,0,0,2,1,0
"30",32,-8.72307851488323,309.06959568,36,10,10,2,344,"apin",0,1,0,0,1,1
"31",34,-8.54202748962649,338.059759268,37,10,11,1,388,"decane",0,3,0,0,1,0
"32",35,-4.53959422059517,238.99134536,21,5,10,3,183,"toluene",1,1,0,0,1,1
