"ID","log_pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumOfN","NumHBondDonors","NumOfConf","NumOfConfUsed","parentspecies","C.C..non.aromatic.","C.C.C.O.in.non.aromatic.ring","hydroxyl..alkyl.","aldehyde","ketone","carboxylic.acid","ester","ether..alicyclic.","nitrate","nitro","aromatic.hydroxyl","carbonylperoxynitrate","peroxide","hydroperoxide","carbonylperoxyacid","nitroester"
0,-11.2950699380379,224.016831836,23,6,9,0,4,485,40,"toluene",0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0
3,-9.67259060566421,299.012474728,29,7,12,1,4,769,3,"toluene",0,0,2,0,2,0,0,0,1,0,0,0,0,1,1,0
4,-4.25205804854546,202.011352532,20,7,7,0,1,77,32,"toluene",0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0
5,-9.84375599271244,238.0324819,26,7,9,0,3,483,40,"",0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0
6,1.93630067478936,241.965858884,18,3,11,2,1,41,17,"toluene",0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
9,-6.5818780586733,310.97608922,26,7,13,1,2,378,40,"toluene",0,0,0,1,1,0,2,0,1,0,0,0,0,1,1,0
11,-4.26754940336536,281.001910044,26,7,11,1,2,211,40,"toluene",0,0,0,2,1,0,0,1,1,0,0,0,0,2,0,0
12,-5.36418928073398,284.049194584,31,7,10,2,2,517,40,"apin",0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0
13,-3.72426806989557,263.100501884,35,10,7,1,1,201,40,"decane",0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
14,-5.367014032642,223.032816248,24,6,8,1,2,69,37,"toluene",0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0
15,-8.61690985631465,267.022645488,27,7,10,1,4,439,24,"toluene",0,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0
17,-6.99865833219684,218.006267152,21,7,8,0,2,19,4,"toluene",0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0
