"","NumOfC","NumOfN","NumHBondDonors","NumOfConf","parentspecies","C.C..non.aromatic.","hydroxyl..alkyl.","aldehyde","carboxylic.acid","ester","ether..alicyclic.","nitrate","nitro","hydroperoxide","log_pSat_Pa"
"1",6,0,4,6.18414889093748,"toluene",0,1,1,1,0,1,0,0,2,-11.2950699380379
"2",7,1,4,6.64509096950564,"toluene",0,2,0,0,0,0,1,0,1,-9.67259060566421
"3",7,0,1,4.34380542185368,"toluene",0,0,2,0,0,1,0,0,1,-4.25205804854546
"4",7,0,3,6.18001665365257,"",0,1,1,0,0,0,0,0,2,-9.84375599271244
"5",3,2,1,3.71357206670431,"toluene",0,1,1,0,0,0,0,1,0,1.93630067478936
"6",7,1,2,5.93489419561959,"toluene",0,0,1,0,2,0,1,0,1,-6.5818780586733
"7",7,1,2,5.35185813347607,"toluene",0,0,2,0,0,1,1,0,2,-4.26754940336536
"8",7,2,2,6.24804287450843,"apin",0,1,0,0,0,0,2,0,1,-5.36418928073398
"9",10,1,1,5.30330490805908,"decane",0,0,0,0,0,0,1,0,1,-3.72426806989557
"10",6,1,2,4.23410650459726,"toluene",0,2,1,0,0,0,1,0,0,-5.367014032642
"11",7,1,4,6.08449941307517,"toluene",0,4,1,0,0,1,1,0,0,-8.61690985631465
"12",7,0,2,2.94443897916644,"toluene",0,0,0,1,0,1,0,0,0,-6.99865833219684
"13",6,0,4,6.89060912014717,"toluene",0,1,0,0,1,0,0,0,3,-12.6803562033096
"14",6,0,3,5.21493575760899,"toluene",0,1,1,0,0,0,0,0,1,-3.40319488625915
"15",6,2,2,5.88887795833288,"apin",0,0,0,0,0,0,1,0,2,-3.0158785984304
"16",7,1,2,6.30991827822652,"toluene",0,0,2,1,0,0,1,0,1,-6.72371821955284
"17",10,0,3,6.78219205600679,"apin",0,0,1,0,0,0,0,0,3,-10.064061929368
"18",6,2,2,4.76217393479776,"toluene",0,1,0,0,0,1,1,0,0,-5.2278665853834
"19",6,2,2,5.74939298590825,"toluene",0,1,0,0,0,1,0,0,1,-2.65126309911125
"20",10,1,2,5.8406416573734,"apin",0,0,1,0,0,0,1,0,1,-8.72307851488323
"21",10,2,1,5.96100533962327,"decane",0,0,0,0,0,0,2,0,1,-8.54202748962649
"22",5,1,3,5.20948615284142,"toluene",0,1,1,0,0,0,0,1,1,-4.53959422059517
"23",10,1,1,5.70711026474888,"apin",0,0,2,0,0,0,1,0,1,-5.80323902052838
"24",7,1,1,3.66356164612965,"toluene",1,0,1,0,1,0,0,0,1,-2.07421904231369
"25",7,1,3,4.89034912822175,"toluene",0,1,0,1,0,0,1,0,1,-8.07627056609348
"26",6,0,4,6.19236248947487,"toluene",0,2,1,0,1,0,0,0,2,-9.47640198308391
"27",4,0,3,4.02535169073515,"toluene",0,1,0,1,0,1,0,0,1,-5.98148154342996
"28",5,0,4,5.68357976733868,"toluene",0,0,0,1,0,1,0,0,2,-8.91081322375644
"29",7,2,4,4.78749174278205,"toluene",0,3,0,0,0,0,2,0,0,-12.6926315040501
"30",7,1,2,5.66642668811243,"",0,2,1,0,0,0,0,0,0,-5.12857622493347
"31",7,1,4,6.24027584517077,"toluene",0,2,1,1,0,1,1,0,1,-12.9392662710149
"32",5,1,1,3.29583686600433,"toluene",0,0,0,1,2,0,1,0,0,-1.26302454958015
"33",10,1,1,5.08140436498446,"apin",0,0,2,0,0,0,1,0,1,-3.90498212936289
"34",6,1,3,5.0998664278242,"toluene",0,1,0,1,0,0,0,0,0,-7.31897824272142
"35",8,1,3,6.52502965784346,"apin",0,0,1,0,0,0,1,0,2,-8.01687490353119
"36",9,2,1,5.53338948872752,"apin",0,1,0,0,0,0,1,0,0,-0.170622397204041
"37",6,1,3,6.39859493453521,"apin",0,1,1,1,0,0,1,0,1,-8.40872139548811
"38",7,0,1,4.15888308335967,"toluene",0,1,1,0,1,0,0,0,0,-3.25966874717706
"39",6,0,3,4.7361984483945,"toluene",0,1,0,1,0,1,0,0,1,-4.26087805303162
"40",6,1,4,6.42971947803914,"toluene",0,0,0,1,0,1,1,0,3,-9.79343231976018
"41",7,2,4,6.07073772800249,"toluene",0,3,1,1,0,0,1,1,0,-13.9990013615977
"42",10,1,2,6.04025471127741,"decane",0,1,0,0,0,0,1,0,1,-7.27301324027142
"43",7,0,5,4.17438726989564,"toluene",0,3,0,1,0,0,0,0,1,-11.111082070696
"44",10,2,1,5.75574221358691,"decane",0,0,0,0,0,0,2,0,1,-5.84749693155327
"45",6,2,2,5.57594910314632,"toluene",0,0,0,1,0,1,1,0,1,-4.21432014528843
"46",6,1,4,6.09356977004514,"toluene",0,1,0,0,0,1,1,0,2,-7.93561326322027
"47",9,2,2,6.30809844150953,"apin",0,0,0,1,0,0,1,0,1,-7.2374126376601
"48",5,2,1,4.52178857704904,"toluene",0,0,0,1,0,1,1,0,0,-2.141600650354
"49",7,1,1,5.72358510195238,"toluene",0,0,3,1,0,0,1,0,0,-5.13958250770782
"50",6,1,3,5.32300997913841,"toluene",0,2,1,1,2,0,1,0,0,-6.05219888380601
"51",5,1,1,3.85014760171006,"toluene",0,0,1,1,0,0,0,1,0,-1.7027230782734
"52",7,1,4,4.23410650459726,"toluene",0,2,0,0,0,0,1,0,2,-10.2311431535145
"53",7,1,1,4.17438726989564,"toluene",1,0,1,0,0,1,0,0,0,-2.93218292122785
"54",7,1,3,5.78382518232974,"toluene",0,2,2,0,0,0,0,1,1,-6.37347599984795
"55",6,1,3,5.49306144334055,"toluene",0,1,1,0,0,0,1,0,1,-4.48842163263622
"56",6,1,2,4.79579054559674,"toluene",0,0,0,1,0,1,1,0,1,-4.06207220539066
"57",6,1,2,5.8636311755981,"toluene",0,0,2,2,0,0,1,0,0,-7.80388115576772
"58",9,1,1,4.23410650459726,"apin",0,0,1,0,0,0,1,0,1,-6.08992468039245
"59",10,0,1,4.78749174278205,"decane",0,1,0,0,0,0,0,0,0,-2.99020086165832
"60",6,1,2,3.73766961828337,"toluene",0,0,0,2,0,1,0,1,0,-4.54188195266223
"61",4,0,4,4.54329478227,"toluene",0,2,0,1,0,1,0,0,1,-7.35426536921855
"62",6,2,1,3.46573590279973,"toluene",0,1,1,0,0,1,1,0,0,-0.475397805939765
"63",5,0,2,3.09104245335832,"toluene",1,0,0,0,1,0,0,0,1,-11.5469603342158
