ID,log_pSat_Pa,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,parentspecies,C=C (non-aromatic),C=C-C=O in non-aromatic ring,hydroxyl (alkyl),aldehyde,ketone,carboxylic acid,ester,ether (alicyclic),nitrate,nitro,aromatic hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester
0,-11.295069938037933,224.016831836,23,6,9,0,4,485.0,40.0,toluene,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0
1,-4.782500050903438,310.064844648,35,9,10,2,1,236.0,40.0,apin,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0
2,-6.204318857356484,368.0339384439999,37,10,13,2,1,308.0,40.0,apin,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0
3,-9.672590605664208,299.012474728,29,7,12,1,4,769.0,3.0,toluene,0,0,2,0,2,0,0,0,1,0,0,0,0,1,1,0
4,-4.25205804854546,202.011352532,20,7,7,0,1,77.0,32.0,toluene,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0
5,-9.843755992712442,238.0324819,26,7,9,0,3,483.0,40.0,,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0
6,1.9363006747893614,241.965858884,18,3,11,2,1,41.0,17.0,toluene,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
7,-10.476293982399739,303.007389348,29,6,13,1,5,238.0,29.0,toluene,0,0,2,0,0,0,0,0,1,0,0,0,1,3,0,0
8,-5.617627328325295,284.996824664,26,6,12,1,3,487.0,40.0,toluene,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0
9,-6.581878058673298,310.97608921999995,26,7,13,1,2,378.0,40.0,toluene,0,0,0,1,1,0,2,0,1,0,0,0,0,1,1,0
10,-2.0008684577747573,343.96116742799995,27,6,15,2,1,23.0,16.0,toluene,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0
11,-4.2675494033653605,281.00191004400006,26,7,11,1,2,211.0,40.0,toluene,0,0,0,2,1,0,0,1,1,0,0,0,0,2,0,0
12,-5.364189280733981,284.049194584,31,7,10,2,2,517.0,40.0,apin,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0
13,-3.724268069895566,263.10050188400004,35,10,7,1,1,201.0,40.0,decane,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
14,-5.367014032641997,223.032816248,24,6,8,1,2,69.0,37.0,toluene,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0
15,-8.616909856314653,267.022645488,27,7,10,1,4,439.0,24.0,toluene,0,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0
16,-5.937403710680225,253.006995424,24,6,10,1,2,501.0,40.0,toluene,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
17,-6.998658332196843,218.006267152,21,7,8,0,2,19.0,4.0,toluene,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0
18,-12.680356203309609,242.02739652,26,6,10,0,4,983.0,40.0,toluene,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0
19,-3.4031948862591483,208.021917216,22,6,8,0,3,184.0,10.0,toluene,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0
20,-4.622676024284643,294.98117460000003,25,7,12,1,1,136.0,40.0,toluene,0,0,0,2,2,0,0,0,1,0,0,0,1,0,1,0
21,-1.019185026640618,331.9611674279999,26,5,15,2,1,214.0,40.0,toluene,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0
22,-10.748442321205548,254.02739652,27,7,10,0,5,272.0,4.0,toluene,0,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0
23,-3.0158785984304024,302.02337376,30,6,12,2,2,361.0,40.0,apin,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0
25,-9.974500403333721,296.99682466400003,27,7,12,1,4,304.0,22.0,toluene,0,0,2,2,0,0,0,1,0,1,0,0,0,1,1,0
26,-6.723718219552844,283.01756010800005,28,7,11,1,2,550.0,40.0,toluene,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0
27,-10.064061929367965,280.079432092,35,10,9,0,3,882.0,40.0,apin,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0
30,-5.227866585383396,313.986988252,27,6,13,2,2,117.0,26.0,toluene,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
31,-2.651263099111254,329.9819028719999,28,6,14,2,2,314.0,40.0,toluene,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0
32,-8.723078514883229,309.06959568,36,10,10,1,2,344.0,4.0,apin,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
34,-8.542027489626495,338.05975926799994,37,10,11,2,1,388.0,40.0,decane,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0
35,-4.5395942205951725,238.99134536,21,5,10,1,3,183.0,12.0,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0
36,-5.803239020528384,291.059030996,33,10,9,1,1,301.0,40.0,apin,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0
37,-2.07421904231369,265.006995424,25,7,10,1,1,39.0,28.0,toluene,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
38,-8.076270566093484,283.017560108,28,7,11,1,3,133.0,15.0,toluene,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0
39,-9.476401983083912,226.0324819,25,6,9,0,4,489.0,17.0,toluene,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0
40,-5.9814815434299575,150.016437912,16,4,6,0,3,56.0,1.0,toluene,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
41,-8.910813223756437,225.996096392,21,5,10,0,4,294.0,8.0,toluene,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
42,-7.4451569635596435,178.01135253200002,18,5,7,0,3,228.0,25.0,toluene,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0
43,-3.6695379929630274,357.97681749199995,30,7,15,2,2,257.0,40.0,toluene,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0
44,-12.692631504050084,343.9975529359999,31,7,14,2,4,120.0,1.0,toluene,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0
45,-5.12857622493347,265.006995424,25,7,10,1,2,289.0,4.0,,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0
46,-12.939266271014946,283.017560108,28,7,11,1,4,513.0,33.0,toluene,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,0
47,-1.2630245495801535,220.980780676,18,5,9,1,1,27.0,14.0,toluene,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0
48,-3.9049821293628857,277.07976644,34,10,8,1,1,161.0,40.0,apin,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0
49,-7.318978242721422,298.97608922,25,6,13,1,3,164.0,26.0,toluene,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
50,-8.01687490353119,299.048860236,33,8,11,1,3,682.0,22.0,apin,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0
51,-0.17062239720404127,324.044109204,34,9,11,2,1,253.0,40.0,apin,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0
52,-8.408721395488106,239.027730868,25,6,9,1,3,601.0,40.0,apin,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
53,-3.2596687471770602,186.016437912,19,7,6,0,1,64.0,38.0,toluene,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0
54,-4.260878053031618,192.027002596,21,6,7,0,3,114.0,17.0,toluene,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
55,-5.25461552074431,253.006995424,24,6,10,1,2,244.0,40.0,toluene,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0
56,-9.793432319760182,287.01247472800003,28,6,12,1,4,620.0,40.0,toluene,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0
57,-13.999001361597726,328.00263831599995,30,7,13,2,4,433.0,1.0,toluene,0,0,3,1,0,1,0,0,1,1,0,0,1,0,0,0
59,-7.2730132402714185,279.095416504,36,10,8,1,2,420.0,40.0,decane,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0
60,-11.11108207069603,252.01174645600005,25,7,10,0,5,65.0,2.0,toluene,0,0,3,0,1,1,0,0,0,0,0,0,1,1,0,0
61,-5.847496931553265,324.080494712,38,10,10,2,1,316.0,40.0,decane,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0
62,-4.214320145288433,327.966252808,26,6,14,2,2,264.0,40.0,toluene,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0
63,-6.886822171291882,180.027002596,20,5,7,0,3,340.0,22.0,toluene,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0
64,-7.9356132632202705,287.012474728,28,6,12,1,4,443.0,23.0,toluene,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0
65,-7.237412637660096,356.033938444,36,9,13,2,2,549.0,40.0,apin,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
66,-10.302423806385313,238.068867408,30,8,8,0,4,901.0,16.0,apin,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0
67,-2.1416006503539955,267.981508948,22,5,11,2,1,92.0,40.0,toluene,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
68,-5.139582507707815,278.98625998000006,24,7,11,1,1,306.0,40.0,toluene,0,0,0,3,1,1,0,0,1,0,0,0,1,0,0,0
69,-6.052198883806005,266.98625998,23,6,11,1,3,205.0,18.0,toluene,0,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0
70,-1.7027230782734,220.980780676,18,5,9,1,1,47.0,20.0,toluene,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0
72,-10.231143153514465,285.03321017200005,30,7,11,1,4,69.0,19.0,toluene,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0
73,-2.932182921227846,262.99134536,23,7,10,1,1,65.0,38.0,toluene,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
74,-6.373475999847948,251.027730868,26,7,9,1,3,325.0,40.0,toluene,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0
75,-4.488421632636215,255.022645488,26,6,10,1,3,243.0,16.0,toluene,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
76,-4.062072205390661,250.99134536,22,6,10,1,2,121.0,40.0,toluene,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0
77,-7.8038811557677175,266.98625998000006,23,6,11,1,2,352.0,40.0,toluene,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0
78,-1.7809669273838435,269.00191004400006,25,6,11,1,2,192.0,40.0,toluene,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0
79,-6.089924680392454,247.069201756,30,9,7,1,1,69.0,40.0,apin,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
80,-2.990200861658323,200.104858992,30,10,4,0,1,120.0,40.0,decane,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
81,-4.541881952662227,205.022251564,21,6,7,1,2,42.0,14.0,toluene,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0
82,-7.354265369218554,166.01135253200002,17,4,7,0,4,94.0,6.0,toluene,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0
83,-7.223980373614542,220.021917216,23,7,8,0,3,108.0,1.0,toluene,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0
84,-5.302254532636455,263.02773086800005,27,8,9,1,1,178.0,40.0,decane,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0
85,-0.4753978059397652,281.997159012,25,6,11,2,1,32.0,10.0,toluene,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
87,-11.546960334215782,175.995702468,16,5,7,0,2,22.0,5.0,toluene,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
90,-5.373373253575747,188.032087976,21,7,6,0,1,14.0,3.0,toluene,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0
91,-4.563768253395797,311.971338188,25,6,13,2,2,174.0,40.0,toluene,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0
92,-6.330310940675741,310.97608922,26,7,13,1,2,264.0,40.0,toluene,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
93,-8.339183544528263,315.00738934799995,30,7,13,1,4,421.0,9.0,toluene,0,0,1,1,0,0,0,1,1,0,0,0,0,2,1,0
94,-3.455285446707816,312.991739284,28,7,13,1,2,191.0,14.0,toluene,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0
95,-5.220361118354636,344.03393844399994,35,8,13,2,2,444.0,40.0,apin,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0
96,-7.098512765333246,278.98625998,24,7,11,1,2,87.0,40.0,toluene,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
97,-2.5105730978565197,296.049194584,32,8,10,2,1,96.0,40.0,apin,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
98,-9.608371877311775,269.001910044,25,6,11,1,5,99.0,26.0,toluene,1,0,3,0,0,0,0,0,0,1,0,0,1,2,0,0
99,-3.9379255863982823,281.001910044,26,7,11,1,1,118.0,39.0,toluene,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0
100,-6.613387078537759,293.038295552,31,9,10,1,1,344.0,40.0,decane,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0
101,1.353996778156572,191.0066015,18,5,7,1,1,8.0,8.0,toluene,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
102,-7.74374654153443,265.07976644,33,9,8,1,2,403.0,40.0,apin,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
103,-4.012418754275536,310.97608922,26,7,13,1,1,78.0,31.0,toluene,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0
104,-8.715882804107615,252.011746456,25,7,10,0,4,214.0,5.0,toluene,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0
105,-4.6943363689614355,313.986988252,27,6,13,2,2,209.0,40.0,toluene,0,0,0,0,2,0,0,0,1,1,0,0,1,2,0,0
